site,number_of_records,mean_grade_percent,minimum_grade_percent,maximum_grade_percent,total_documented_tonnage
Quiggley; Gray Eagle,1,63.7,63.7,63.7,5.0
Eureka Stibnite (Pick claim group),1,62.0,62.0,62.0,12.0
Christophosen; Last Chance,1,58.0,58.0,58.0,2.5
Scrafford; Treasure Creek,1,55.0,50.0,60.0,2700.0
Slate Creek; Taylor mine,2,54.5,49.0,60.0,679.0
McCarty; American Eagle,2,52.83,45.0,60.66,20.0
Hot Air; Hot Air No. 1,2,41.0325,25.67,48.86,956.0
Hindenburg; Markovich,1,38.5,38.5,38.5,16.5
Sliscovich,1,35.0,35.0,35.0,0.0
Pringle Bench; Jones & Boyle,1,12.78,12.78,12.78,6308.0
Stampede,1,12.5,10.0,15.0,7000.0
Breen West (Bison),1,10.0,10.0,10.0,14.0
